''	N
After	N
playing	N
football	N
with	N
my	N
friends	N
,	N
I	N
was	N
all	N
sweaty	N
and	N
dirty	N
,	N
so	N
I	N
decide	N
I	N
should	N
take	N
a	N
bath	N
.	N
	
First	N
I	N
made	N
sure	N
there	N
were	N
clean	N
towels	N
available	N
and	N
enough	N
soap	N
and	N
shampoo	N
to	N
thoroughly	C
clean	N
my	N
skin	N
and	N
hair	N
.	N
	
I	N
put	N
the	N
plug	N
in	N
the	N
bottom	N
of	N
the	N
bath	N
tub	N
and	N
turned	N
on	N
the	N
water	N
,	N
being	N
careful	N
to	N
adjust	C
the	N
water	N
to	N
a	N
nice	N
warm	N
,	N
but	N
no	N
too	N
hot	N
,	N
temperature	N
.	N
	
I	N
used	N
my	N
finger	N
to	N
determine	C
just	N
the	N
right	N
temperature	N
.	N
	
After	N
removing	N
my	N
clothes	N
and	N
placing	N
them	N
in	N
the	N
hamper	N
,	N
I	N
carefully	N
stepped	N
into	N
the	N
tub	N
,	N
being	N
sure	N
to	N
steady	C
myself	N
as	N
I	N
entered	N
.	N
	
I	N
gingerly	N
lowered	N
myself	N
into	N
the	N
nice	N
warm	N
water	N
and	N
immediately	N
began	N
to	N
relax	N
.	N
	
After	N
a	N
few	N
minutes	N
of	N
rest	N
and	N
relaxation	N
,	N
I	N
got	N
out	N
the	N
soap	N
and	N
thoroughly	C
washed	N
my	N
whole	N
body	N
,	N
making	N
sure	N
to	N
get	N
all	N
of	N
the	N
dirt	N
and	N
grass	N
stains	N
off	N
that	N
I	N
had	N
accumulated	N
from	N
playing	N
football	N
.	N
	
Next	N
I	N
washed	N
my	N
hair	N
with	N
shampoo	N
and	N
laid	N
back	N
into	N
the	N
water	N
to	N
really	N
rinse	N
it	N
out	N
well	N
.	N
	
I	N
carefully	N
exited	N
the	N
bath	N
tub	N
,	N
making	N
sure	N
to	N
step	N
onto	N
the	N
bath	N
mat	C
so	N
I	N
would	N
n't	N
slip	N
on	N
the	N
smooth	N
floor	N
tiles	N
,	N
and	N
got	N
a	N
towel	N
and	N
dried	N
myself	N
off	N
.	N
	
Now	N
my	N
bath	N
was	N
complete	N
and	N
I	N
felt	N
so	N
nice	N
and	N
clean	N
!	N
What	N
a	N
great	N
feeling	N
!	N
I	N
like	N
taking	N
a	N
bath	N
instead	N
of	N
a	N
shower	N
sometimes	N
.	N
	
I	N
start	N
by	N
closing	N
the	N
drain	C
at	N
the	N
bottom	N
of	N
the	N
tub	N
.	N
	
Some	N
tubs	N
have	N
a	N
stopper	N
and	N
some	N
have	N
